coin,x_roi,x_exit_signal,x_stop_loss,profit_pct,cagr_pct,sharpe,pval,pf,mkt_change_pct,maxdd_pct,sharpe_d,calmar,trades,avg_profit_pct,dur,wins,losses,win_pct,error,years,vol1h,edge12,t,n,vol_2026_musd,fund_up_apy,pct_time_up,h1_profit_pct,h1_pf,h2_profit_pct,h2_pf,liq_ok,hist_ok,wf_ok
IMX,37.0,126.0,14.0,3.33,0.76,0.24,0.1329,1.34,-91.81,2.47,0.68,1.63,177.0,0.19,2:52:00,116.0,61.0,65.5,,4.4,0.577,0.262,1.02,286,4.2,6.05,29.5,2.9,1.52,0.42,1.1,False,True,True
INJ,42.0,140.0,19.0,5.01,1.29,0.41,0.03715,1.48,220.15,1.08,1.06,6.39,201.0,0.25,2:36:00,137.0,64.0,68.2,,3.9,0.585,0.391,2.26,306,26.9,1.65,39.2,3.6,1.6,1.42,1.31,False,True,True
LDO,29.0,92.0,20.0,-1.34,-0.36,-0.1,0.5656,0.88,-78.8,3.09,-0.29,-0.61,141.0,-0.1,3:00:00,85.0,56.0,60.3,,3.8,0.554,0.119,0.47,233,15.6,14.94,30.6,,,,,False,True,False
LINK,18.0,171.0,11.0,2.48,0.55,0.22,0.1841,1.32,-63.44,1.55,0.64,1.87,200.0,0.12,2:51:00,139.0,61.0,69.5,,4.5,0.436,0.522,3.42,300,120.6,12.82,36.0,0.71,1.16,1.77,1.55,True,True,True
LTC,18.0,185.0,10.0,1.35,0.3,0.13,0.4482,1.16,-71.3,1.77,0.37,0.89,213.0,0.06,2:54:00,145.0,68.0,68.1,,4.5,0.343,-0.125,-0.75,328,73.1,12.86,34.4,,,,,False,True,False
MANA,17.0,111.0,12.0,-0.4,-0.09,-0.03,0.8334,0.95,-98.08,2.34,-0.1,-0.2,140.0,-0.03,2:50:00,89.0,51.0,63.6,,4.5,0.451,0.627,1.78,210,5.1,14.02,24.1,,,,,False,True,False
NEAR,39.0,161.0,21.0,2.79,0.61,0.19,0.2716,1.21,-87.52,2.97,0.53,1.09,221.0,0.13,2:48:00,145.0,76.0,65.6,,4.5,0.54,0.284,1.23,346,107.6,12.45,34.4,5.02,2.07,-2.24,0.73,True,True,False
ONDO,19.0,66.0,12.0,0.78,0.33,0.1,0.6613,1.12,40.98,1.15,0.29,1.49,97.0,0.08,2:42:00,63.0,34.0,64.9,,2.4,0.596,0.872,2.07,150,34.1,13.01,32.4,,,,,False,False,False
ORDI,20.0,57.0,12.0,0.84,0.32,0.09,0.6441,1.14,-80.25,1.62,0.31,1.05,89.0,0.1,2:34:00,63.0,26.0,70.8,,2.6,0.624,-0.971,-2.28,130,14.8,12.18,27.5,,,,,False,False,False
POL,7.0,34.0,5.0,0.41,0.24,0.07,0.7226,1.15,-81.55,1.0,0.3,1.25,46.0,0.09,2:26:00,32.0,14.0,69.6,,1.7932648401826483,,,,-1,16.2,5.94,22.9,,,,,False,False,False
RENDER,11.0,65.0,4.0,2.83,1.51,0.58,0.02303,1.97,-66.31,0.59,1.65,13.39,80.0,0.37,2:36:00,56.0,24.0,70.0,,1.9277397260273972,,,,-1,25.7,4.28,30.1,,,,,False,False,False
SAND,24.0,77.0,20.0,-0.9,-0.2,-0.05,0.6825,0.91,-99.22,2.03,-0.2,-0.52,121.0,-0.08,2:25:00,80.0,41.0,66.1,,4.5,0.45,0.657,1.06,176,12.0,15.24,21.4,,,,,False,True,False
SEI,32.0,64.0,20.0,0.03,0.01,0.0,0.9902,1.0,-60.93,1.4,0.01,0.04,116.0,0.0,2:08:00,74.0,42.0,63.8,,2.9,0.573,0.236,0.6,167,20.5,12.31,30.6,,,,,False,False,False
SOL,21.0,178.0,10.0,4.24,0.93,0.38,0.02367,1.56,-56.85,0.72,1.08,6.88,209.0,0.2,2:49:00,146.0,63.0,69.9,,4.5,0.447,0.5,3.1,304,1991.6,11.79,36.2,3.61,1.72,0.64,1.24,True,True,True
STX,20.0,91.0,17.0,-0.89,-0.27,-0.08,0.6697,0.9,-79.61,3.48,-0.23,-0.41,128.0,-0.07,2:50:00,82.0,46.0,64.1,,3.4,0.518,0.603,1.72,210,5.5,19.99,29.9,,,,,False,True,False
SUI,33.0,97.0,15.0,2.8,0.89,0.27,0.1859,1.33,-29.49,2.25,0.78,2.1,145.0,0.19,2:31:00,96.0,49.0,66.2,,3.2,0.537,0.532,2.43,232,192.6,11.68,35.1,2.73,2.5,0.07,1.01,True,True,True
TAO,14.0,54.0,6.0,2.59,1.19,0.38,0.07678,1.73,-46.87,0.97,1.16,6.51,74.0,0.36,2:46:00,55.0,19.0,74.3,,2.2,0.628,-0.264,-0.5,115,135.4,2.04,27.7,,,,,True,False,False
TIA,18.0,45.0,7.0,0.86,0.33,0.1,0.5707,1.19,-92.68,1.25,0.32,1.37,70.0,0.14,2:36:00,42.0,28.0,60.0,,2.7,0.639,-0.226,-0.57,114,25.6,-2.25,22.8,,,,,False,False,False
TRX,7.0,297.0,12.0,-6.89,-1.58,-0.78,0.0001895,0.46,321.34,6.93,-1.82,-1.16,316.0,-0.22,3:59:00,169.0,147.0,53.5,,4.5,0.19,-0.017,0.49,537,52.1,2.15,52.8,,,,,False,True,False
UNI,20.0,154.0,19.0,-1.26,-0.28,-0.09,0.5611,0.89,-83.34,2.97,-0.27,-0.5,193.0,-0.07,3:00:00,119.0,74.0,61.7,,4.5,0.467,-0.072,-0.35,296,61.5,13.28,33.2,,,,,False,True,False
WLD,42.0,45.0,12.0,4.59,1.57,0.43,0.02102,1.75,-77.01,1.27,1.38,6.57,99.0,0.48,1:58:00,72.0,27.0,72.7,,2.9,0.631,0.416,1.14,140,85.8,16.37,29.3,,,,,False,False,False
XLM,17.0,120.0,17.0,-1.88,-0.42,-0.13,0.366,0.81,-35.38,2.99,-0.36,-0.73,154.0,-0.12,2:39:00,96.0,58.0,62.3,,4.5,0.366,0.156,0.84,221,42.2,10.39,29.4,,,,,False,True,False
XRP,21.0,143.0,11.0,1.78,0.39,0.15,0.3465,1.23,24.89,0.81,0.49,2.55,175.0,0.1,2:41:00,113.0,62.0,64.6,,4.5,0.334,0.655,3.16,238,700.8,11.14,34.0,1.04,1.27,0.74,1.18,True,True,True
