Date,Open,High,Low,Close,Volume
2009-01-02 00:00:00+05:30,30.600000381469727,30.94499969482422,30.299999237060547,30.555999755859375,1344830
2009-01-05 00:00:00+05:30,30.700000762939453,31.3700008392334,30.700000762939453,31.174999237060547,2429180
2009-01-06 00:00:00+05:30,31.100000381469727,31.479999542236328,30.60300064086914,31.124000549316406,1418730
2009-01-07 00:00:00+05:30,31.3799991607666,31.5,28.899999618530273,29.264999389648438,5724640
2009-01-09 00:00:00+05:30,29.0,29.5,28.030000686645508,28.854999542236328,1820800
2009-01-12 00:00:00+05:30,28.5,28.75,27.559999465942383,27.72599983215332,1845050
2009-01-13 00:00:00+05:30,27.700000762939453,28.190000534057617,27.51099967956543,27.636999130249023,1743530
2009-01-14 00:00:00+05:30,27.799999237060547,28.799999237060547,27.799999237060547,28.492000579833984,900410
2009-01-15 00:00:00+05:30,27.985000610351562,28.065000534057617,27.299999237060547,27.649999618530273,1200560
2009-01-16 00:00:00+05:30,27.850000381469727,28.690000534057617,27.719999313354492,28.51099967956543,689330
2009-01-19 00:00:00+05:30,28.065000534057617,28.709999084472656,28.065000534057617,28.445999145507812,794070
2009-01-20 00:00:00+05:30,28.389999389648438,28.549999237060547,27.780000686645508,28.31399917602539,705160
2009-01-21 00:00:00+05:30,28.200000762939453,28.200000762939453,27.309999465942383,27.535999298095703,1264160
2009-01-22 00:00:00+05:30,27.899999618530273,27.899999618530273,27.200000762939453,27.350000381469727,970500
2009-01-23 00:00:00+05:30,27.399999618530273,27.600000381469727,27.040000915527344,27.211000442504883,875460
2009-01-27 00:00:00+05:30,27.301000595092773,27.850000381469727,27.25,27.72100067138672,662830
2009-01-28 00:00:00+05:30,27.864999771118164,28.589000701904297,27.864999771118164,28.496000289916992,640780
2009-01-29 00:00:00+05:30,28.611000061035156,28.799999237060547,28.049999237060547,28.256999969482422,813550
2009-01-30 00:00:00+05:30,28.0,29.10099983215332,27.900999069213867,28.9689998626709,987080
2009-02-02 00:00:00+05:30,28.850000381469727,28.850000381469727,28.049999237060547,28.170000076293945,1724660
2009-02-03 00:00:00+05:30,28.299999237060547,28.599000930786133,28.0,28.291000366210938,450500
2009-02-04 00:00:00+05:30,28.5,28.68899917602539,27.94099998474121,28.10300064086914,838680
2009-02-05 00:00:00+05:30,28.299999237060547,28.5,27.81999969482422,28.020000457763672,420750
