date,"baseline: flat + count, NO breaker",+ vol sizing,+ correlation cap,+ fixed 10% breaker (today's rule),+ adaptive breaker (tighten+loosen),+ adaptive breaker (loosen-only) V2,TODAY'S BOT (flat+count+fixed),bh_btc
2021-01-01 00:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-01-01 01:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1014.3079199851836
2021-01-01 02:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1006.8811555595715
2021-01-01 03:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1009.7695716487563
2021-01-01 04:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1007.7661317607474
2021-01-01 05:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1006.6176630351371
2021-01-01 06:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1006.1810379881035
2021-01-01 07:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1003.3695313661295
2021-01-01 08:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.1683041255546
2021-01-01 09:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1007.1418889999803
2021-01-01 10:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1007.8871865723657
2021-01-01 11:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1010.9797748794367
2021-01-01 12:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1008.2206908539468
2021-01-01 13:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1016.1978925426442
2021-01-01 14:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1011.4746855765089
2021-01-01 15:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1006.6749140286662
2021-01-01 16:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1010.53418280932
2021-01-01 17:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1002.9146273874268
2021-01-01 18:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1002.6752768482154
2021-01-01 19:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1001.1695067413044
2021-01-01 20:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1007.0987783120819
2021-01-01 21:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1005.6995778256554
2021-01-01 22:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1009.2149957596325
2021-01-01 23:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1011.6074664952355
2021-01-02 00:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1006.9787581569732
2021-01-02 01:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1012.5655584230868
2021-01-02 02:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1011.3360416042281
2021-01-02 03:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1012.3062045246909
2021-01-02 04:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1012.2261910879517
2021-01-02 05:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1020.5158590425358
2021-01-02 06:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1024.6227556144775
2021-01-02 07:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1026.0343719790185
2021-01-02 08:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1029.2938848696313
2021-01-02 09:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1021.3049570738258
2021-01-02 10:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1023.6543171215304
2021-01-02 11:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1026.2068147306115
2021-01-02 12:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1055.4886286076317
2021-01-02 13:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1087.8092286532255
2021-01-02 14:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1079.1650184013658
2021-01-02 15:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1092.9866498270571
2021-01-02 16:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1120.2667482435843
2021-01-02 17:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1133.1889182769658
2021-01-02 18:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1138.1214707435352
2021-01-02 19:00:00+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1139.060249083208
